pred_protein_set,go_id,go_term,p_value,annotated_gene_of_term
YGL012W YJL167W YMR272C YPL069C YGR157W YHR007C YDL015C YNL111C,GO:0008610,lipid biosynthetic process,5.80E-11,YNL111C YHR007C YPL069C YJL167W YDL015C YMR272C YGR157W YGL012W
YNL141W YMR300C YER056C YLR028C YDR399W YMR120C,GO:0009127,purine nucleoside monophosphate biosynthetic process,6.12E-11,YMR120C YDR399W YLR028C YMR300C YNL141W
YNL037C YDL066W YKL029C YIL094C YLR174W YCR053W YOR136W,GO:0006102,isocitrate metabolic process,7.49E-11,YNL037C YOR136W YDL066W YLR174W
YOR065W YLL041C YDR178W YLR164W YKL141W,GO:0022904,respiratory electron transport chain,1.95E-10,YKL141W YOR065W YDR178W YLR164W YLL041C
YHR208W YJR148W YFL056C YJR139C YOR323C YDR158W,GO:0009097,isoleucine biosynthetic process,2.61E-09,YJR139C YJR148W YDR158W YHR208W
YJL200C YLR304C YER065C YPL262W,GO:0006099,tricarboxylic acid cycle,4.91E-09,YER065C YLR304C YPL262W YJL200C
YER090W YKL211C YEL020C YDR127W YGL148W,GO:0009073,aromatic amino acid family biosynthetic process,5.09E-09,YER090W YDR127W YGL148W YKL211C
YHR216W YER142C YML056C YLR432W,GO:0006183,GTP biosynthetic process,1.64E-08,YHR216W YLR432W YML056C
YHR116W Q0275 YBL045C YNL315C YNR020C YJL166W YJL180C YLR393W Q0045 YMR256C,GO:0033615,mitochondrial proton-transporting ATP synthase complex assembly,4.71E-08,YLR393W YNR020C YJL180C YNL315C
YGL202W YGR208W YHR137W YLR089C YCR053W,GO:1901607,alpha-amino acid biosynthetic process,7.01E-08,YCR053W YGL202W YHR137W YLR089C YGR208W
YMR207C YHR011W YOR126C YOR335C YLR372W YKL055C YNR016C,GO:0019752,carboxylic acid metabolic process,2.39E-07,YLR372W YMR207C YOR335C YOR126C YKL055C YNR016C YHR011W
YGR155W YJR016C YAL012W YCR053W YIR032C YGL009C,GO:1901607,alpha-amino acid biosynthetic process,2.83E-07,YCR053W YAL012W YJR016C YGL009C YGR155W
YDL055C YGL065C YBR110W YNL048W,GO:0006486,protein glycosylation,5.90E-07,YNL048W YBR110W YGL065C YDL055C
YNR008W YGR157W YCR048W YJR073C YNR019W YOR245C,GO:0044255,cellular lipid metabolic process,6.23E-07,YGR157W YOR245C YNR019W YNR008W YJR073C YCR048W
YLR260W YOR171C YDR294C YPL154C,GO:0019722,calcium-mediated signaling,6.88E-07,YLR260W YDR294C YOR171C
YMR105C YDR375C YKL127W YMR205C,GO:0019320,hexose catabolic process,1.12E-06,YMR105C YMR205C YKL127W
YHR067W YER065C YPL262W YOR388C YER061C YGL148W,GO:0019752,carboxylic acid metabolic process,1.25E-06,YOR388C YER065C YGL148W YPL262W YHR067W YER061C
YNR001C YPR001W YLR251W YCR005C,GO:0006101,citrate metabolic process,4.67E-06,YNR001C YCR005C
YKL148C YLL041C YDR178W YBR044C,GO:0006099,tricarboxylic acid cycle,5.48E-06,YKL148C YDR178W YLL041C
YER026C YPL057C YBR036C YDR072C YDR354W YGR060W,GO:0008610,lipid biosynthetic process,7.44E-06,YDR072C YPL057C YBR036C YER026C YGR060W
YLR343W YDR307W YHR140W YBR159W YKL065C YMR272C YPL264C YDL015C YGR060W,GO:0000038,very long-chain fatty acid metabolic process,7.65E-06,YBR159W YDL015C YMR272C
YJL046W YGR244C YER178W YOR142W YBL015W,GO:0006637,acyl-CoA metabolic process,1.38E-05,YOR142W YER178W YGR244C
YGR192C YEL023C YJR009C YJL052W,GO:0006096,glycolytic process,1.43E-05,YJR009C YGR192C YJL052W
YML120C YGR240C YHR183W YKL085W,GO:0006091,generation of precursor metabolites and energy,2.56E-05,YGR240C YHR183W YKL085W YML120C
YDR502C YDR062W YMR296C YLR180W,GO:0006556,S-adenosylmethionine biosynthetic process,3.58E-05,YLR180W YDR502C
YAR015W YKL132C YOR241W YGR061C,GO:0046900,tetrahydrofolylpolyglutamate metabolic process,4.63E-05,YOR241W YKL132C
YDR322C-A YPL057C YPR020W YKL004W YFR047C,GO:0019637,organophosphate metabolic process,4.78E-05,YPR020W YKL004W YPL057C YDR322C-A YFR047C
YDR380W YER073W YHR208W YMR170C,GO:0044283,small molecule biosynthetic process,0.00027855,YMR170C YHR208W YER073W YDR380W
YMR165C YKR053C YJL134W,GO:0046839,phospholipid dephosphorylation,0.000365021,YJL134W YKR053C
